skillKey,existingCount,keepCount,rewriteCount,rejectCount,D1Keep,D2Keep,D3Keep,D4Keep,D5Keep,distinctKeepFacts,distinctKeepFamilies
APTITUDE_DATA_INTERPRETATION,66,13,2,51,3,6,4,0,0,7,7
APTITUDE_REASONING_LOGIC,41,9,3,29,0,5,4,0,0,6,6
APTITUDE_REASONING_SERIES,8,0,0,8,0,0,0,0,0,0,0
COMPUTER_ARCHITECTURE,8,1,3,4,0,1,0,0,0,1,1
CONDITIONALS_BASICS,18,6,3,9,0,2,4,0,0,3,3
C_BASICS,12,2,3,7,0,2,0,0,0,2,2
DEBUGGING,13,0,0,13,0,0,0,0,0,0,0
HOW_COMPUTERS_WORK,45,12,1,32,2,9,1,0,0,8,8
LOOPS_BASICS,7,5,1,1,0,2,3,0,0,4,4
PATTERN_RECOGNITION,21,3,0,18,0,3,0,0,0,2,2
PROBLEM_SOLVING,22,0,6,16,0,0,0,0,0,0,0
PROGRAMMING_FUNDAMENTALS,53,6,0,47,0,2,4,0,0,2,3
PSEUDOCODE_FLOWCHARTS,10,7,0,3,0,4,3,0,0,4,4
PYTHON_BASICS,12,6,3,3,1,3,2,0,0,6,6
TECHNICAL_COMMUNICATION,30,9,7,14,3,5,1,0,0,4,4
